
"['\n\n\n\n\n\n\n\n\n\n  \n  \n    '  '\n  Heating problem. In simple browising only phone gets heated up in upper side. When asking for replacement amazon customer care they are fooling us. Very pathetic condition.\n'  '\n  \n']","1","AGXQ72MVF2VZZCNZA3MVQER7FPPA","332"
"['\n\n\n\n\n\n\n\n\n\n  \n  \n    '  '\n  Just one word AMAZING\n'  '\n  \n']","5","AGEZ3ULEZR2X7BE2Q2J5FAMEK4IQ","321"
"['\n\n\n\n\n\n\n\n\n\n  \n  \n    '  '\n  The phone(M21 Raven Black) is not working properly since its purchase. After the first installation  it is on frequently on and off mode and even restarts after more than 30 minutes. Moreover 4-5 times it takes more than 2 hours for starting.'  "I also register a complaint to Amazon regarding this. I don't need such a disgusting phone any more. it wastes my 3 days. So  I request to Amazon kindly refund my money  I don't need replacement.\n"  '\n  \n']","1","AF22YYLZ22VTRXRKX6GU62WV77UA","285"
"['\n\n\n\n\n\n\n\n\n\n  \n  \n    '  '\n  Now Amazone has REPLACED THE DAMAGED ONE NOW THE PHONE IS GOOD ENOUGH...'  'PREVIOUS ONE WAS Nonsence What A Nonsence Battery It Comes to 90% Charge After a full charge only if u do something in10 minutes.... What nonsence is this. NEED REPLACEMENT. Do you people think customers are Mad.\n'  '\n  \n']","1","AGSIZOP5PKXJFZGNC6HHUYAU57SQ","252"
"['\n\n\n\n\n\n\n\n\n\n  \n  \n    '  '\n  Otg pendrive not supported\n'  '\n  \n']","1","AGEZ3ULEZR2X7BE2Q2J5FAMEK4IQ","197"
"['\n\n\n\n\n\n\n\n\n\n  \n  \n    '  '\n  After 5 hrs continuously  charging level reach 55 % during call sound quality not clear a lot of heating problem camera quality not good network issue slow processing..poor performance\n'  '\n  \n']","1","AGPWA5TRPGNJOEBJVH2O64ZZRJCA","192"
"['\n\n\n\n\n\n\n\n\n\n  \n  \n    '  "\n  This phone's video photo quality and audio quality is very poor\n"  '\n  \n']","1","AGEZ3ULEZR2X7BE2Q2J5FAMEK4IQ","193"
"['\n\n\n\n\n\n\n\n\n\n  \n  \n    '  '\n  Heating problems\n'  '\n  \n']","1","AE4WCOEY2N5LSOGOCSFSVELWPE2Q","189"
"['\n\n\n\n\n\n\n\n\n\n  \n  \n    '  "\n  Worst phone of my life I have ever purchase . Due to this pandemic situation and blaming china for this corona virus I have decided to purchase a korian company phone . But I broke up my trust . Battery life is poor as it's shows 6000Mah but performance wise it's behave like 4000Mah. Bcuz it's drain so quickly processor is very slow it's hang up in 5 minute and heat like u can make your veggie on this even it's can burn ur ears finger print is not responding I have washed my hand many time but it's not ready to recognize it's. Finally my humble request to amazon pls return this I have made a big mistake to purchase it. Pls help me to return it\n"  '\n  \n']","1","AGEZ3ULEZR2X7BE2Q2J5FAMEK4IQ","154"
"['\n\n\n\n\n\n\n\n\n\n  \n  \n    '  '\n  Looks like just to clear the unsold stock of m30s they gave it a new name and advertised it as a totally new phone. Everything is similar to m30s  except the price (and selfie camera). Good thing is that they kept the price low.'  'Just got it delivered today. So far so good  many users compalined about battery  charging speed  display issues on m30s. Hope they got it resolved in m21.\n'  '\n  \n']","4","AF3E5W2HRQ4TRYZV3K5JUBKSBHQQ","147"
