
"['\n\n\n\n\n\n\n\n\n\n  \n  \n    '  "\n  The bad part of this mobile was that it lasted only half day. Next morning it did not work even after charging and trying everything possible  but what's WORST IS AMAZON RETURN PROCESS. Highly disappointed with Amazon process it took me approx 4 days and 2 hours of phone calls to get the defective product returned.\n"  '\n  \n']","1","AHJD6KU7T257ASRSE4VD2YN6CZQA","23"
"['\n\n\n\n\n\n\n\n\n\n  \n  \n    '  "\n  Poor Quality. Phone is not functional after 2 days of use. I bought it as a spare phone and didn't use much or neither downloaded any big apps. Phone is not getting on. It has happened under 7 days of delivery and I made a return on Amazon but it's not showing any confirmation or clarity. Waste of money.\n"  '\n  \n']","1","AHFYMIYJXHCYSMQ5N7M464G4VVUA","21"
"['\n\n\n\n\n\n\n\n\n\n  \n  \n    '  '\n  Product is good in that budget'  'And performance is excellent\n'  '\n  \n']","5","AGYO6LEQBZXCMI7F5RONVZYQDLKQ","21"
"['\n\n\n\n\n\n\n\n\n\n  \n  \n    '  '\n  Samsung is loting money by giving worst product I am using this phone after one month it started and stop working saying overheating if I watch movie for half an hour of video call for half an hour\n'  '\n  \n']","1","AHRDV5WBYSROPK4RDVXW2NF6NCPA","16"
"['\n\n\n\n\n\n\n\n\n\n  \n  \n    '  '\n  Update 16 Oct 20'  'Samsung service is trying to push manufacturing defects as my fault. They are playing with small users. Please be careful buying any Samsung product as they are operating like a fly-by-night company.'  "I've already spent Rs. 3 000 for a Rs. 6 000 phone without a working phone for the last 1 month."  'Update on 29 Sep 20.'  'Reducing status to 1 star.'  'The phone is increasingly giving problems.'  'a) The screen responsiveness is getting worse.'  'b)  The SD card is always giving error.'  'c) Taking lots of time to load Apps.'  '-----------------------------------------------------------------------------------------'  'I exchanged my Samsung On5 for Samsung M01 Core mainly because of the lack of internal memory. Good sturdy experience of On5 let me to buy this phone. I have no complaints about the hardware though many of the software have regressed from On5. Let me write them down:'  "1. Samsung On5 running on Android 6 was more stable than current Android 10. It has rebooted atleast twice on it's own."  '2. Camera has no panorama and other mode which was there in On5.'  '3. Chrome hanged twice during this period.'  '4. SD card stopped reading once. Had to push it back again to work. Never happened in On5.'  "5. Do Not Disturb can't be customized. Samsung On5 had it."  '6. Unread SMS not highlighted.'  "Go version shouldn't mean regression. I'll be happy to discuss with the architects who would want genuine op\n"  '\n  \n']","1","AEG23AZ7M6D6HQ7KFLTELGX55P4A","12"
"['\n\n\n\n\n\n\n\n\n\n  \n  \n    '  '\n  #Very poor camera.'  '#Battery ok but slow charging.'  '#I got this in exchange for 3.8k  '  '  So   I am satisfied.'  '# M10 was far far better.'  '#gaming ok'  '#worst part is camera.dont expect any nice'  '  pics.'  '#small screen so easy to handle.'  "#overall 3.9star I'll give coz you own samsung at such cost."  '# may be bigger M01 is better.\n'  '\n  \n']","3","AGW3VNPMIRVPOVJYUPTZNRK3QE6Q","13"
"['\n\n\n\n\n\n\n\n\n\n  \n  \n    '  '\n  Major issue with this phone is slow charging and quick battery draining. Look of handset is sleek and smart but charer is Normal(Non-USB). To connect with other devices like laptop  PC  you will need to purchase extra USB cable. Backside of phone get heated if using for long time like an hour or more. I was recording video on 14.08.2020 and in 15-20 minutes  phone get overheated and I stopped video recording.\n'  '\n  \n']","2","AEAD7UYELMFGLK3D45W76Z3A45UA","13"
"['\n\n\n\n\n\n\n\n\n\n  \n  \n    '  "\n  I wud have given no star but unfortunately there's no such option. The mobile stops reading the sim card often on the second day of use. When tried to replace the item quoting defective product  they ask me to install an app to solve the problem and the app itself doesn't work. IT SUCKS. My money got wasted.\n"  '\n  \n']","1","AEDX2SZVCG5FWCOFJ4DZJ6LMRHIQ","12"
"['\n\n\n\n\n\n\n\n\n\n  \n  \n    '  '\n  It has all the basic features and the interface is quite smooth. It has support to wi-fi calling also. Overall the phone is good value for the money spent on it.\n'  '\n  \n']","5","AHBNZEXHWA2MGDDRMXC4COA6OXQQ","13"
"['\n\n\n\n\n\n\n\n\n\n  \n  \n    '  "\n  It's really value for money 💰🙂..."  'The phone comes with a 5.30-inch touchscreen display with a resolution of 720x1480 pixels and an aspect ratio of 18.5:9. Samsung Galaxy M01 Core is powered by a 1.5GHz quad-core MediaTek MT6739 processor. It comes with 1GB of RAM. The Samsung Galaxy M01 Core runs Android Go Edition and is powered by a 3000mAh battery.'  'As far as the cameras are concerned  the Samsung Galaxy M01 Core on the rear packs 8-megapixel camera. The rear camera setup has autofocus. It sports a 5-megapixel camera on the front for selfies.\n'  '\n  \n']","5","AFZOWTGFFZKO4SGQNTK7UZVHTYUQ","7"
